/home/tiago/documentos/sentinel/genomasbrasil/GCA_000255495.2_ASM25549v2_genomic.gbff	AHYZ01000091	1434	2363	-	rep28_1_repA(pCIS4)	1-930/930	===============	0/0	100.00	99.68	plasmidfinder	CP003162	rep28_1_repA(pCIS4)_CP003162	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_000255515.2_ASM25551v2_genomic.gbff	AHZA01000321	2225	3154	-	rep28_1_repA(pCIS4)	1-930/930	===============	0/0	100.00	99.68	plasmidfinder	CP003162	rep28_1_repA(pCIS4)_CP003162	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_000255515.2_ASM25551v2_genomic.gbff	AHZA01000400	1	956	+	repUS64_1_repA(pR18)	2-954/954	========/======	7/15	99.27	82.95	plasmidfinder	JN601038	repUS64_1_repA(pR18)_JN601038	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001400055.1_ASM140005v1_genomic.gbff	LKGR01000015	63800	64800	+	rep9c_1_repA(pTW9)	8-1008/1008	========/======	3/4	99.11	90.83	plasmidfinder	AB563188	rep9c_1_repA(pTW9)_AB563188	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001400055.1_ASM140005v1_genomic.gbff	LKGR01000026	6007	6944	-	rep11a_1_repA(pB82)	1-938/945	===============	0/0	99.26	80.92	plasmidfinder	AB178871	rep11a_1_repA(pB82)_AB178871	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001400065.1_ASM140006v1_genomic.gbff	LKGS01000067	6006	6943	-	rep11a_1_repA(pB82)	1-938/945	===============	0/0	99.26	80.92	plasmidfinder	AB178871	rep11a_1_repA(pB82)_AB178871	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001447175.1_ASM144717v1_genomic.gbff	CP013196	685718	686919	+	repUS43_1_CDS12738(DOp1)	1-1202/1206	========/======	2/2	99.59	89.61	plasmidfinder	CP003584	repUS43_1_CDS12738(DOp1)_CP003584	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001566695.1_ASM156669v1_genomic.gbff	LNZT01000192	3009	3425	+	IncA/C2_1	1-417/417	===============	0/0	100.00	100.00	plasmidfinder	JN157804	IncA/C2_1__JN157804	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001592925.1_ASM159292v1_genomic.gbff	LTDW01000011	75916	76303	-	IncFIA_1	1-388/388	===============	0/0	100.00	100.00	plasmidfinder	AP001918	IncFIA_1__AP001918	
/home/tiago/documentos/sentinel/genomasbrasil/GCA_001592925.1_ASM159292v1_genomic.gbff	LTDW01000013	4078	4339	-	IncFII(S)_1	1-262/262	===============	0/0	100.00	100.00	plasmidfinder	CP000858	IncFII(S)_1__CP000858	
